Match Day,Match Date (UTC),Match Time(New York),Match Time(London),Match Time(Moscow),Match Time(Dubai),Match Time(Shanghai),Fixture,Stadium,Home Team,Home Goal,Away Goal,Away Team,Last Update Time,Stage,Status,Note4,Likely Home Goal,Likely Away Goal,Projected Home Goal,Projected Away Goal,Win %,Draw %,Loss %,Guess Home,Guess Away,Dice Home,Dice Away,Match Time(Chicago),Match Time(Albuqerque),Match Time(San Francisco),,,,,,,,,,,,,,,,,,,,,
1,"Friday, August 16, 2024",8/16/24 3:00 p.m.,8/16/24 8:00 p.m.,8/16/24 10:00 p.m.,8/16/24 11:00 p.m.,8/17/24 3:00 a.m.,Man Utd vs Fulham,Old Trafford,Man Utd,1,0,Fulham,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.99,1.20,55.3%,21.6%,22.6%,1,0,,,14:00,13:00,12:00,,,,,,,,,,,,,,,,,,,,,
1,"Saturday, August 17, 2024",8/17/24 7:30 a.m.,8/17/24 12:30 p.m.,8/17/24 2:30 p.m.,8/17/24 3:30 p.m.,8/17/24 7:30 p.m.,Ipswich Town vs Liverpool,Portman Road,Ipswich Town,0,2,Liverpool,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,3,0.94,2.50,12.1%,16.5%,70.0%,0,2,,,6:30,5:30,4:30,,,,,,,,,,,,,,,,,,,,,
1,"Saturday, August 17, 2024",8/17/24 10:00 a.m.,8/17/24 3:00 p.m.,8/17/24 5:00 p.m.,8/17/24 6:00 p.m.,8/17/24 10:00 p.m.,Arsenal vs Wolves,Emirates Stadium,Arsenal,2,0,Wolves,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,0,2.29,0.72,71.9%,17.1%,10.1%,2,0,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
1,"Saturday, August 17, 2024",8/17/24 10:00 a.m.,8/17/24 3:00 p.m.,8/17/24 5:00 p.m.,8/17/24 6:00 p.m.,8/17/24 10:00 p.m.,Everton vs Brighton,Goodison Park,Everton,0,3,Brighton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.22,2.06,22.2%,21.1%,56.2%,0,3,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
1,"Saturday, August 17, 2024",8/17/24 10:00 a.m.,8/17/24 3:00 p.m.,8/17/24 5:00 p.m.,8/17/24 6:00 p.m.,8/17/24 10:00 p.m.,Newcastle vs Southampton,St. James' Park,Newcastle,1,0,Southampton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,0,2.33,0.75,71.8%,16.9%,10.3%,1,0,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
1,"Saturday, August 17, 2024",8/17/24 10:00 a.m.,8/17/24 3:00 p.m.,8/17/24 5:00 p.m.,8/17/24 6:00 p.m.,8/17/24 10:00 p.m.,Nott'm Forest vs Bournemouth,The City Ground,Nott'm Forest,1,1,Bournemouth,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.41,1.43,36.9%,25.1%,37.9%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
1,"Saturday, August 17, 2024",8/17/24 12:30 p.m.,8/17/24 5:30 p.m.,8/17/24 7:30 p.m.,8/17/24 8:30 p.m.,8/18/24 12:30 a.m.,West Ham vs Aston Villa,London Stadium,West Ham,1,2,Aston Villa,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.11,1.38,30.2%,26.7%,43.0%,1,2,,,11:30,10:30,9:30,,,,,,,,,,,,,,,,,,,,,
1,"Sunday, August 18, 2024",8/18/24 9:00 a.m.,8/18/24 2:00 p.m.,8/18/24 4:00 p.m.,8/18/24 5:00 p.m.,8/18/24 9:00 p.m.,Brentford vs Crystal Palace,Gtech Community Stadium,Brentford,2,1,Crystal Palace,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.41,1.04,45.4%,26.7%,27.8%,2,1,,,8:00,7:00,6:00,,,,,,,,,,,,,,,,,,,,,
1,"Sunday, August 18, 2024",8/18/24 11:30 a.m.,8/18/24 4:30 p.m.,8/18/24 6:30 p.m.,8/18/24 7:30 p.m.,8/18/24 11:30 p.m.,Chelsea vs Man City,Stamford Bridge,Chelsea,0,2,Man City,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,0.97,2.03,17.3%,20.8%,61.5%,0,2,,,10:30,9:30,8:30,,,,,,,,,,,,,,,,,,,,,
1,"Monday, August 19, 2024",8/19/24 3:00 p.m.,8/19/24 8:00 p.m.,8/19/24 10:00 p.m.,8/19/24 11:00 p.m.,8/20/24 3:00 a.m.,Leicester City vs Spurs,King Power Stadium,Leicester City,1,1,Spurs,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.52,1.79,32.8%,22.8%,44.1%,1,1,,,14:00,13:00,12:00,,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 7:30 a.m.,8/24/24 12:30 p.m.,8/24/24 2:30 p.m.,8/24/24 3:30 p.m.,8/24/24 7:30 p.m.,Brighton vs Man Utd,American Express Stadium,Brighton,2,1,Man Utd,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.95,1.64,45.0%,21.7%,32.8%,2,1,,,6:30,5:30,4:30,,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 10:00 a.m.,8/24/24 3:00 p.m.,8/24/24 5:00 p.m.,8/24/24 6:00 p.m.,8/24/24 10:00 p.m.,Crystal Palace vs West Ham,Selhurst Park,Crystal Palace,0,2,West Ham,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.11,1.12,35.4%,28.8%,35.8%,0,2,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
