Rank,Team,,MP,Won,Drawn,Lost,GF,GA,GD,Poss,CrdY,CrdR,Points,Form,,,,,Next,,
1,Liverpool,,11,9,1,1,21,6,15,57.6,25,0,28,W,W,D,W,W,,A,Southampton
2,Man City,,11,7,2,2,22,13,9,63.4,27,0,23,W,W,W,L,L,,H,Spurs
3,Chelsea,,11,5,4,2,21,13,8,55.2,45,0,19,D,L,W,D,D,,A,Leicester City
4,Arsenal,,11,5,4,2,18,12,6,51.5,33,3,19,W,L,D,L,D,,H,Nott'm Forest
5,Nott'm Forest,,11,5,4,2,15,10,5,41.4,32,2,19,D,W,W,W,L,,A,Arsenal
6,Brighton,,11,5,4,2,19,15,4,53.1,28,1,19,W,W,D,L,W,,A,Bournemouth
7,Fulham,,11,5,3,3,16,13,3,54,30,1,18,L,L,D,W,W,,H,Wolves
8,Newcastle,,11,5,3,3,13,11,2,49.3,28,1,18,D,L,L,W,W,,H,West Ham
9,Aston Villa,,11,5,3,3,17,17,0,52.2,32,1,18,D,W,D,L,L,,H,Crystal Palace
10,Spurs,,11,5,1,5,23,13,10,59.8,28,0,16,L,W,L,W,L,,A,Man City
11,Brentford,,11,5,1,5,22,22,0,46.6,17,1,16,W,L,W,L,W,,A,Everton
12,Bournemouth,,11,4,3,4,15,15,0,45.2,34,0,15,L,W,D,W,L,,H,Brighton
13,Man Utd,,11,4,3,4,12,12,0,52.8,33,1,15,D,W,L,D,W,,A,Ipswich Town
14,West Ham,,11,3,3,5,13,19,-6,45.7,29,2,12,W,L,W,L,D,,A,Newcastle
15,Leicester City,,11,2,4,5,14,21,-7,46.8,34,0,10,W,W,L,D,L,,H,Chelsea
16,Everton,,11,2,4,5,10,17,-7,40.9,18,1,10,D,W,D,L,D,,H,Brentford
17,Ipswich Town,,11,1,5,5,12,22,-10,40.8,35,2,8,L,L,L,D,W,,H,Man Utd
18,Crystal Palace,,11,1,4,6,8,15,-7,44.4,27,1,7,L,L,W,D,L,,A,Aston Villa
19,Wolves,,11,1,3,7,16,27,-11,44.3,31,0,6,L,L,D,D,W,,A,Fulham
20,Southampton,,11,1,1,9,7,21,-14,55.1,40,2,4,L,L,L,W,L,,H,Liverpool
,BLK,,,,,,,,,,,,,,,,,,,,
,UEFA Champions League Group Stage,,,,,,,,,,,,,,,,,,,,
,UEFA Europa League Group Stage,,,,,,,,,,,,,,,,,,,,
,Relagation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
©2024 excel4soccer.com,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,    ,,,,
